TYPEHUQ,CDD30YR,NUMFLRS,STUDIO,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,OUTGRILL,ICE,SIZFREEZ,DWASHUSE,TOPFRONT,WASHLOAD,RNSETEMP,DRYER,DRYRFUEL,TVCOLOR,TVONWE3,WELLPUMP,FUELHEAT,HEATROOM,WHEATOTH,CENACHP,MAINTAC,AGECENAC,ACROOMS,USECENAC,PROTHERMAC,TEMPHOMEAC,NUMCFAN,USECFAN,SWIMPOOL,NOUTLGTNT,WINDOWS,ELWARM,ELWATER,PGASHTWA,NHSLDMEM,HUPROJ,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,TOTALDOL,KAVALNG,OA_LAT
2,1684,-2,-2,10,2,1,3,5,0,0,0,-2,-2,1,1,3,1,5,1,-2,0,5,4,0,0,0,4,4,1,0,-2,4,1,0,0,3,1,0,1,1,0,846,677,677,1572,721,1,2
3,2747,-2,-2,20,3,2,2,5,0,0,1,-2,1,1,2,3,1,5,1,-2,0,5,5,0,0,0,3,5,2,0,73,3,2,0,0,4,1,1,-2,2,-2,1564,1564,1564,12914,1599,-2,7
4,1178,-2,0,-2,2,1,5,7,-2,0,0,-2,-2,2,1,3,0,-2,1,-2,-2,3,7,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,0,1,-2,1,0,806,806,115,3685,1917,1,5
2,2937,-2,-2,10,4,2,6,10,0,1,1,2,5,1,4,3,1,5,0,-2,0,5,10,0,0,1,5,10,3,1,78,4,3,0,0,5,1,1,-2,5,-2,2403,2403,2403,17752,2467,-2,19
2,1905,-2,-2,10,3,2,2,5,0,1,0,1,-2,1,3,3,1,5,2,-2,0,1,5,0,0,1,4,5,1,-2,-2,4,1,0,0,3,0,0,1,2,-2,1372,1372,1372,7151,1389,1,1
2,2553,-2,-2,20,4,2,5,9,1,1,1,1,4,2,5,3,1,1,6,3,0,1,9,0,0,1,2,9,3,0,74,8,2,0,0,7,1,0,1,5,-2,3841,3191,3191,20079,3003,1,7
2,2645,-2,-2,20,4,2,3,7,1,0,1,1,3,2,2,2,1,5,2,-2,0,1,5,0,0,0,3,7,3,1,77,5,1,1,0,4,0,0,1,4,-2,2800,1714,2400,14668,2349,1,7
2,559,-2,-2,20,3,1,4,7,1,1,1,3,3,1,3,3,1,5,3,2,1,3,6,0,-2,-2,-2,-2,-2,-2,-2,2,2,0,0,4,1,0,-2,3,-2,1748,1155,770,16129,4507,-2,3
2,863,-2,-2,10,2,1,4,6,0,1,0,-2,-2,1,2,3,1,5,1,-2,0,1,6,0,-2,-2,-2,-2,-2,-2,-2,4,3,0,1,4,0,0,1,2,-2,2304,2304,0,4468,1349,1,2
2,434,-2,-2,10,3,1,2,5,1,1,1,2,1,2,2,2,1,5,5,2,1,7,4,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,3,1,1,-2,7,0,2116,1437,558,42687,6625,3,3
