Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
TVSIZE3,TVTYPE3,0.9415409808501181,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
TVSIZE3,TVAUDIOSYS3,0.953697950631252,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
TVSIZE3,COMBOVCRDVD3,0.9407427568770976,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
TVSIZE3,TVONWD3,0.9072130483993158,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
TVSIZE3,CABLESAT3,0.9159436016883495,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
TVSIZE3,PLAYSTA3,0.9375500648315055,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
TVSIZE3,TVONWE3,0.9083364486802383,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVTYPE3,VCR3,0.9408555041692089,KWH,VCR3,0.3268460838090407,0.3268460838090407
TVTYPE3,DIGITSTB3,0.9421361135878314,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
TVTYPE3,DVD3,0.9375648529720476,KWH,DVD3,0.3309321400617885,0.3309321400617885
TVTYPE3,TVSIZE3,0.9415409808501181,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
TVTYPE3,OTHERSTB3,0.9608420133425363,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
TVTYPE3,TVTYPE3,1.0,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
TVTYPE3,TVAUDIOSYS3,0.9611287524225404,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
TVTYPE3,COMBOVCRDVD3,0.9473935505323656,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
TVTYPE3,TVONWD3,0.9181019614776939,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
TVTYPE3,CABLESAT3,0.9224700607631067,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
TVTYPE3,PLAYSTA3,0.9424144874188627,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
TVTYPE3,TVONWE3,0.9176764438282887,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TYPEHUQ,TYPEHUQ,1.0,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
UGWATER,UGWATER,1.0,KWH,UGWATER,-0.3260742276792467,0.3260742276792467
